
========>...................] - ETA: 21:53 - loss: 0.3489 - acc: 0.8717
24405/60000 [===========>..................] - ETA: 21:25 - loss: 0.3495 - acc: 0.8720
24408/60000 [===========>..................] - ETA: 21:25 - loss: 0.3495 - acc: 0.8720
24411/60000 [===========>..................] - ETA: 21:25 - loss: 0.3494 - acc: 0.8720
24414/60000 [===========>..................] - ETA: 21:24 - loss: 0.3494 - acc: 0.8720
24417/60000 [===========>..................] - ETA: 21:24 - loss: 0.3494 - acc: 0.8720
24420/60000 [===========>..................] - ETA: 21:24 - loss: 0.3493 - acc: 0.8720
24423/60000 [===========>..................] - ETA: 21:24 - loss: 0.3494 - acc: 0.8720
24426/60000 [===========>..................] - ETA: 21:24 - loss: 0.3495 - acc: 0.8720
24429/60000 [===========>..................] - ETA: 21:24 - loss: 0.3495 - acc: 0.8720
24432/60000 [===========>..................] - ETA: 21:24 - loss: 0.3494 - acc: 0.8720
24435/60000 [===========>..................] - ETA: 21:24 - loss: 0.3495 - acc: 0.8720
24438/60000 [===========>..................] - ETA: 21:24 - loss: 0.3494 - acc: 0.8720
24441/60000 [===========>..................] - ETA: 21:24 - loss: 0.3494 - acc: 0.8720
24444/60000 [===========>..................] - ETA: 21:23 - loss: 0.3494 - acc: 0.8720
24447/60000 [===========>..................] - ETA: 21:23 - loss: 0.3494 - acc: 0.8720
24450/60000 [===========>..................] - ETA: 21:23 - loss: 0.3493 - acc: 0.8720
24453/60000 [===========>..................] - ETA: 21:23 - loss: 0.3494 - acc: 0.8720
24456/60000 [===========>..................] - ETA: 21:23 - loss: 0.3494 - acc: 0.8720
24459/60000 [===========>..................] - ETA: 21:23 - loss: 0.3495 - acc: 0.8719
24462/60000 [===========>..................] - ETA: 21:23 - loss: 0.3494 - acc: 0.8720
24465/60000 [===========>..................] - ETA: 21:23 - loss: 0.3494 - acc: 0.8720
24468/60000 [===========>..................] - ETA: 21:23 - loss: 0.3494 - acc: 0.8720
24471/60000 [===========>..................] - ETA: 21:22 - loss: 0.3494 - acc: 0.8720
24474/60000 [===========>..................] - ETA: 21:22 - loss: 0.3493 - acc: 0.8720
24477/60000 [===========>..................] - ETA: 21:22 - loss: 0.3493 - acc: 0.8720
24480/60000 [===========>..................] - ETA: 21:22 - loss: 0.3494 - acc: 0.8720
24483/60000 [===========>..................] - ETA: 21:22 - loss: 0.3493 - acc: 0.8720
24486/60000 [===========>..................] - ETA: 21:22 - loss: 0.3493 - acc: 0.8720
24489/60000 [===========>..................] - ETA: 21:22 - loss: 0.3493 - acc: 0.8721
24492/60000 [===========>..................] - ETA: 21:22 - loss: 0.3493 - acc: 0.8720
24495/60000 [===========>..................] - ETA: 21:22 - loss: 0.3493 - acc: 0.8721
24498/60000 [===========>..................] - ETA: 21:21 - loss: 0.3496 - acc: 0.8720
24501/60000 [===========>..................] - ETA: 21:21 - loss: 0.3495 - acc: 0.8720
24504/60000 [===========>..................] - ETA: 21:21 - loss: 0.3496 - acc: 0.8720
24507/60000 [===========>..................] - ETA: 21:21 - loss: 0.3497 - acc: 0.8720
24510/60000 [===========>..................] - ETA: 21:21 - loss: 0.3497 - acc: 0.8719
24513/60000 [===========>..................] - ETA: 21:21 - loss: 0.3497 - acc: 0.8719
24516/60000 [===========>..................] - ETA: 21:21 - loss: 0.3497 - acc: 0.8719
24519/60000 [===========>..................] - ETA: 21:21 - loss: 0.3497 - acc: 0.8719
24522/60000 [===========>..................] - ETA: 21:21 - loss: 0.3496 - acc: 0.8719
24525/60000 [===========>..................] - ETA: 21:20 - loss: 0.3496 - acc: 0.8719
24528/60000 [===========>..................] - ETA: 21:20 - loss: 0.3496 - acc: 0.8719
24531/60000 [===========>..................] - ETA: 21:20 - loss: 0.3496 - acc: 0.8720
24534/60000 [===========>..................] - ETA: 21:20 - loss: 0.3497 - acc: 0.8719
24537/60000 [===========>..................] - ETA: 21:20 - loss: 0.3496 - acc: 0.8719
24540/60000 [===========>..................] - ETA: 21:20 - loss: 0.3496 - acc: 0.8720
24543/60000 [===========>..................] - ETA: 21:20 - loss: 0.3496 - acc: 0.8720
24546/60000 [===========>..................] - ETA: 21:20 - loss: 0.3496 - acc: 0.8720
24549/60000 [===========>..................] - ETA: 21:20 - loss: 0.3496 - acc: 0.8720
24552/60000 [===========>..................] - ETA: 21:20 - loss: 0.3496 - acc: 0.8720
24555/60000 [===========>..................] - ETA: 21:19 - loss: 0.3496 - acc: 0.8720
24558/60000 [===========>..................] - ETA: 21:19 - loss: 0.3496 - acc: 0.8719
24561/60000 [===========>..................] - ETA: 21:19 - loss: 0.3496 - acc: 0.8720
24564/60000 [===========>..................] - ETA: 21:19 - loss: 0.3496 - acc: 0.8719
24567/60000 [===========>..................] - ETA: 21:19 - loss: 0.3496 - acc: 0.8719
24570/60000 [===========>..................] - ETA: 21:19 - loss: 0.3496 - acc: 0.8719
24573/60000 [===========>..................] - ETA: 21:19 - loss: 0.3497 - acc: 0.8719
24576/60000 [===========>..................] - ETA: 21:19 - loss: 0.3498 - acc: 0.8718
24579/60000 [===========>..................] - ETA: 21:18 - loss: 0.3499 - acc: 0.8718
24582/60000 [===========>..................] - ETA: 21:18 - loss: 0.3500 - acc: 0.8717
24585/60000 [===========>..................] - ETA: 21:18 - loss: 0.3500 - acc: 0.8718
24588/60000 [===========>..................] - ETA: 21:18 - loss: 0.3501 - acc: 0.8717
24591/60000 [===========>..................] - ETA: 21:18 - loss: 0.3501 - acc: 0.8717
24594/60000 [===========>..................] - ETA: 21:18 - loss: 0.3501 - acc: 0.8717
24597/60000 [===========>..................] - ETA: 21:18 - loss: 0.3501 - acc: 0.8717
24600/60000 [===========>..................] - ETA: 21:18 - loss: 0.3500 - acc: 0.8717
